type,title,director,date_added,release_year,rating,duration
Movie,Lost Girls,Liz Garbus,13-Mar-20,2020,R,95 min
Movie,Lost in London,Sunkanmi Adebayo,21-Dec-19,2017,TV-PG,86 min
TV Show,Lost in Space,,24-Dec-19,2019,TV-PG,2 Seasons
TV Show,LOST SONG,,5-Oct-18,2018,TV-14,1 Season
Movie,Loudon Wainwright III: Surviving Twin,Christopher Guest,13-Nov-18,2018,TV-14,92 min
Movie,Louis C.K. 2017,Louis C.K.,4-Apr-17,2017,,74 min
Movie,Louis C.K.: Hilarious,Louis C.K.,16-Sep-16,2010,,84 min
Movie,Louis C.K.: Live at the Comedy Store,Louis C.K.,15-Aug-16,2015,,66 min
TV Show,Love,,9-Mar-18,2018,TV-MA,3 Seasons
TV Show,Love @ Seventeen,,21-Dec-18,2016,TV-14,1 Season
TV Show,Love & Anarchy,,4-Nov-20,2020,TV-MA,1 Season
TV Show,Love 101,,24-Apr-20,2020,TV-MA,1 Season
Movie,Love Aaj Kal,Imtiaz Ali,27-Apr-20,2020,TV-MA,140 min
TV Show,Love Alarm,,22-Aug-19,2019,TV-MA,1 Season
TV Show,Love and Fortune,,30-Nov-18,2018,TV-MA,1 Season
TV Show,Love and Hong Kong,,20-Jan-18,2017,TV-PG,1 Season
Movie,Love and Shukla,Jatla Siddartha,1-Sep-18,2017,TV-MA,110 min
TV Show,Love Around,,1-Nov-16,2013,TV-14,1 Season
Movie,Love Beats Rhymes,RZA,1-Mar-18,2016,R,106 min
TV Show,Love Cheque Charge,,1-Oct-16,2014,TV-14,1 Season
TV Show,Love Cuisine,,1-Aug-16,2015,TV-MA,1 Season
Movie,Love Dot Com: The Social Experiment,Charneice Fox,17-Feb-20,2019,TV-MA,98 min
TV Show,Love Family,,1-Nov-16,2013,TV-MA,1 Season
Movie,Love for Sale,Andibachtiar Yusuf,6-Oct-19,2018,TV-14,101 min
Movie,Love for Sale 2,Andibachtiar Yusuf,10-Feb-20,2019,TV-14,96 min
TV Show,Love for Ten: Generation of Youth,,17-Feb-17,2013,TV-14,1 Season
Movie,Love In A Puff,Pang Ho-cheung,1-Aug-18,2010,TV-MA,103 min
Movie,Love Is a Story,Cristina Jacob,1-Jun-19,2015,TV-MA,105 min
Movie,Love Is Blind,"Andy Delaney, Monty Whitebloom",12-May-20,2019,TV-MA,93 min
TV Show,Love Is in the Air,,1-Mar-17,2010,TV-14,1 Season
Movie,Love Is War,Omoni Oboli,29-Apr-20,2019,TV-14,111 min
Movie,Love Jacked,Alfons Adetuyi,1-Feb-20,2018,PG-13,94 min
Movie,Love Jones,Theodore Witcher,1-Nov-19,1997,R,109 min
Movie,Love Like the Falling Rain,Lasja Fauzia Susatyo,15-Oct-20,2020,TV-14,87 min
TV Show,Love Me As I Am,,22-Feb-17,2015,TV-PG,3 Seasons
TV Show,Love Me or Leave Me,,1-Nov-16,2012,TV-14,1 Season
Movie,Love Ni Bhavai,Saandeep Patel,1-May-18,2017,TV-14,163 min
TV Show,Love Now,,1-Nov-16,2012,TV-14,1 Season
Movie,Love O2O,Tianyu Zhao,1-Apr-19,2016,TV-14,103 min
Movie,Love Off the Cuff,Pang Ho-cheung,31-Jan-19,2017,TV-MA,120 min
Movie,Love on Delivery,Stephen Chow,16-Aug-18,1994,TV-14,93 min
TV Show,Love on the Spectrum,,22-Jul-20,2019,TV-14,1 Season
Movie,Love Per Square Foot,Anand Tiwari,14-Feb-18,2018,TV-14,133 min
TV Show,Love Rain,,1-May-18,2012,TV-PG,1 Season
TV Show,Love Rhythms - Accidental Daddy,,18-Jun-18,2016,TV-MA,1 Season
Movie,Love Shot,Steven Fine,15-Jul-19,2018,TV-MA,77 min
Movie,Love Station,Ahmad Samir Farag,25-Apr-19,2011,TV-14,97 min
TV Show,Love Storm,,1-Aug-17,2016,TV-14,1 Season
Movie,Love Wedding Repeat,Dean Craig,10-Apr-20,2020,TV-MA,101 min
Movie,Love You to the Stars and Back,Antoinette Jadaone,17-Dec-20,2017,TV-14,111 min
Movie,Love You... Love You Not,Sridhar Jetty,5-Jan-19,2015,TV-14,115 min
TV Show,Love Your Garden,,26-Jul-19,2013,TV-G,1 Season
TV Show,"Love, Chunibyo & Other Delusions!",,1-Nov-19,2014,TV-PG,2 Seasons
TV Show,"Love, Death & Robots",,15-Mar-19,2019,TV-MA,1 Season
Movie,"Love, Guaranteed",Mark Steven Johnson,3-Sep-20,2020,TV-PG,91 min
Movie,"Love, Rosie",Christian Ditter,20-Nov-19,2014,R,103 min
Movie,"Love, Surreal and Odd",Yılmaz Erdoğan,18-Oct-19,2017,TV-14,95 min
Movie,Love.com,Anita Barbosa,1-Jun-17,2017,TV-MA,92 min
TV Show,Lovesick,,3-Sep-18,2014,TV-MA,1 Season
Movie,Lovesong,So Yong Kim,15-May-17,2016,TV-MA,84 min
TV Show,Lovestruck in the City,,22-Dec-20,2020,TV-14,1 Season
Movie,LoveTrue,Alma Har'el,7-May-17,2016,TV-MA,82 min
Movie,Loving,Jeff Nichols,16-Nov-20,2016,PG-13,124 min
Movie,Loving Annabelle,Katherine Brooks,1-Jul-18,2006,TV-MA,77 min
Movie,Loving is Losing,Fernando Ayllón,26-Apr-19,2019,TV-MA,91 min
Movie,Loving You,Johnnie To,16-Aug-18,1995,TV-14,79 min
Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,16-May-19,2010,TV-MA,112 min
Movie,Lu Over the Wall,Masaaki Yuasa,18-Mar-20,2017,PG,113 min
Movie,Lucas Brothers: On Drugs,Jay Chapman,18-Apr-17,2017,TV-MA,50 min
Movie,Luccas Neto em: Acampamento de Férias 2,Lucas Margutti,4-May-20,2020,TV-G,81 min
Movie,Luccas Neto in: Children's Day,Lucas Margutti,1-Jan-20,2019,TV-G,81 min
Movie,Luccas Neto in: Summer Camp,Lucas Margutti,5-Nov-19,2019,TV-G,87 min
Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,3-Mar-20,2019,TV-Y,71 min
Movie,Lucha: Playing the Impossible,Ana Quiroga,15-Jul-18,2016,TV-PG,98 min
Movie,Luciano Mellera: Infantiloide,"Raúl Campos, Jan Suter",6-Jul-18,2018,TV-14,66 min
Movie,Lucid Dream,Jun-seong Kim,2-Jun-17,2017,TV-MA,102 min
TV Show,Lucifer,,21-Aug-20,2020,TV-14,5 Seasons
Movie,Luck by Chance,Zoya Akhtar,15-Dec-19,2009,TV-14,156 min
Movie,Luckee,Sanjay Jadhav,15-Jun-19,2019,TV-14,113 min
Movie,Lucknow Central,Ranjit Tiwari,16-Oct-17,2017,TV-14,144 min
TV Show,Lucky Days,,1-Sep-16,2010,TV-PG,1 Season
Movie,Lucky: No Time for Love,"Radhika Rao, Vinay Sapru",15-Nov-17,2005,TV-14,131 min
Movie,Ludo,Anurag Basu,12-Nov-20,2020,TV-MA,150 min
TV Show,Lugar de Mulher,,28-Nov-19,2019,TV-MA,1 Season
TV Show,Luis Miguel - The Series,,12-Jul-19,2018,TV-MA,1 Season
Movie,Luka Chuppi,Laxman Utekar,7-Jun-19,2019,TV-PG,125 min
TV Show,Luna Nera,,31-Jan-20,2020,TV-MA,1 Season
TV Show,Luna Petunia,,17-Nov-17,2017,TV-Y,3 Seasons
TV Show,Luna Petunia: Return to Amazia,,20-Jul-18,2018,TV-Y,2 Seasons
TV Show,Lunatics,,19-Apr-19,2019,TV-MA,1 Season
TV Show,Luo Bao Bei,,31-Aug-19,2018,TV-Y,1 Season
TV Show,Lupin,,8-Jan-21,2021,TV-MA,1 Season
Movie,Lupin the 3rd: The Castle of Cagliostro: Special Edition,Hayao Miyazaki,15-May-18,1979,PG-13,100 min
Movie,Lupt,Prabhuraj,5-Apr-19,2018,TV-14,110 min
Movie,Lusers,Ticoy Rodriguez,15-Jul-16,2015,TV-MA,100 min
Movie,Lust Stories,"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee",15-Jun-18,2018,TV-MA,121 min
Movie,Luv Shuv Tey Chicken Khurana,Sameer Sharma,1-Oct-18,2012,TV-14,129 min
Movie,Lynne Koplitz: Hormonal Beast,Marcus Raboy,22-Aug-17,2017,TV-MA,51 min
Movie,Ma Chu Ka,Jayan Vannery,1-Jul-18,2017,TV-14,117 min
Movie,Ma Rainey's Black Bottom,George C. Wolfe,18-Dec-20,2020,R,94 min
Movie,Ma Rainey's Black Bottom: A Legacy Brought to Screen,,18-Dec-20,2020,TV-PG,32 min
Movie,Maacher Jhol,Pratim D. Gupta,1-Jan-18,2017,TV-PG,107 min
Movie,Mac & Devin Go to High School,Dylan C. Brown,20-Apr-16,2012,R,76 min
Movie,Macchli Jal Ki Rani Hai,Debaloy Dey,15-Oct-17,2014,TV-MA,118 min
Movie,Machete Kills,Robert Rodriguez,22-Nov-20,2013,R,108 min
Movie,Macho,Antonio Serrano,12-Apr-17,2016,TV-MA,101 min
Movie,Mad Max,George Miller,1-Aug-20,1979,R,93 min
TV Show,Mad Men,," March 22, 2015",2014,TV-14,7 Seasons
Movie,Mad Money,"Callie Khouri, Jesse V. Johnson",1-Nov-19,2008,PG-13,99 min
Movie,Mad Ron's Prevues from Hell,Jim Monaco,1-Nov-10,1987,NR,84 min
Movie,Mad World,Chun Wong,20-Sep-18,2016,TV-MA,102 min
Movie,Madaari,Nishikant Kamat,17-Feb-17,2016,TV-14,134 min
Movie,Madagascar: Escape 2 Africa,"Eric Darnell, Tom McGrath",1-May-20,2008,PG,91 min
TV Show,Madam Secretary,,15-May-20,2019,TV-PG,6 Seasons
Movie,Maddman: The Steve Madden Story,Ben Patterson,1-Jan-18,2017,TV-MA,78 min
Movie,Made in China,Mikhil Musale,12-Jan-20,2019,TV-MA,128 min
TV Show,Made in Mexico,,28-Sep-18,2018,TV-MA,1 Season
Movie,Madness in the Desert,Satyajit Bhatkal,10-Jan-21,2004,TV-14,141 min
Movie,Madras Café,Shoojit Sircar,5-Jul-20,2013,TV-14,128 min
Movie,Madre,Aaron Burns,26-Aug-17,2016,TV-MA,95 min
TV Show,Maggie & Bianca: Fashion Friends,Iginio Straffi,31-Mar-19,2017,TV-Y7,1 Season
TV Show,Magi: Adventure of Sinbad,,14-Jul-16,2016,TV-14,1 Season
TV Show,Magi: The Labyrinth of Magic,,21-Jun-19,2013,TV-14,2 Seasons
TV Show,Magic for Humans,,15-May-20,2020,TV-14,3 Seasons
TV Show,Magic Phone,,10-Jun-17,2016,TV-PG,1 Season
Movie,Magic Snowflake,Luc Vinciguerra,20-Dec-15,2013,TV-Y,73 min
TV Show,Magical Andes,,15-Oct-19,2019,TV-G,1 Season
Movie,Magnetic,Thierry Donard,12-Jun-20,2018,TV-14,110 min
Movie,Magnificent,Vikas Bahl,1-Apr-20,2015,TV-14,143 min
Movie,Magnolia,Paul Thomas Anderson,1-Jan-20,1999,R,189 min
Movie,Magnus,Benjamin Ree,22-Feb-17,2016,TV-PG,75 min
Movie,Mahabharat,Amaan Khan,1-Aug-18,2013,TV-14,119 min
Movie,Maharaja: The Story of Ranjit Singh,Amarjit Virdi,30-Jan-19,2010,TV-14,56 min
TV Show,Maharakshak Devi,,15-Apr-17,2015,TV-14,1 Season
TV Show,Maharakshak: Aryan,,1-Apr-17,2014,TV-14,1 Season
Movie,Mahi NRI,Gaurav Bavdankar,1-Dec-19,2017,TV-14,134 min
TV Show,Mahi Way,,1-Mar-18,2010,TV-14,1 Season
Movie,Mahjong Heroes,Li Pei-Chuan,16-Aug-18,1981,TV-PG,92 min
TV Show,Mahmut & Meryem,,26-Dec-16,2013,TV-14,1 Season
TV Show,Maid-Sama!,,1-Nov-19,2010,TV-14,1 Season
Movie,Main aurr Mrs. Khanna,Prem Soni,2-Aug-18,2009,TV-14,109 min
Movie,Main Hoon Na,Farah Khan,1-Apr-18,2004,TV-14,171 min
Movie,"Main, Meri Patni Aur Woh",Chandan Arora,1-Oct-18,2005,TV-PG,129 min
Movie,Maine Pyaar Kyun Kiya,David Dhawan,31-Dec-19,2005,TV-14,137 min
Movie,Maine Pyar Kiya,Sooraj R. Barjatya,1-Jan-18,1989,TV-PG,192 min
TV Show,Mak Cun,,29-Sep-17,2015,TV-PG,1 Season
TV Show,Making a Murderer,,19-Oct-18,2018,TV-14,2 Seasons
Movie,Making The Witcher,Nathan Wiley,26-Aug-20,2020,TV-MA,33 min
Movie,Making Unorthodox,Marlene Melchior,26-Mar-20,2020,TV-G,21 min
TV Show,Mako Mermaids: An H2O Adventure,,28-May-20,2016,TV-G,4 Seasons
Movie,Maktub,Oded Raz,15-Jun-18,2018,TV-MA,106 min
Movie,Mala Kahich Problem Nahi,Sameer Vidwans,15-Nov-18,2017,TV-PG,132 min
Movie,Malaal,Mangesh Hadawale,26-Sep-19,2019,TV-14,133 min
Movie,Malang,Mohit Suri,14-May-20,2020,TV-MA,131 min
Movie,Malena Pichot: Estupidez compleja,"Raúl Campos, Jan Suter",2-Mar-18,2018,TV-MA,51 min
Movie,Malevolent,Olaf de Fleur,5-Oct-18,2018,TV-MA,89 min
Movie,Malibu Rescue,Savage Steve Holland,13-May-19,2019,TV-G,70 min
Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,4-Aug-20,2020,TV-G,71 min
TV Show,Malibu Rescue: The Series,,3-Jun-19,2019,TV-G,1 Season
Movie,Malicious,Michael Winnick,1-Feb-19,2018,TV-MA,91 min
Movie,Mallesham,Raj R,20-Nov-19,2019,TV-PG,131 min
Movie,Mama's Boy,Amro Salah,10-Jul-20,2018,TV-14,101 min
TV Show,Man Down,,30-Nov-17,2017,TV-MA,4 Seasons
TV Show,Man Like Mobeen,,1-Apr-20,2020,TV-MA,3 Seasons
Movie,Man of Tai Chi,Keanu Reeves,26-Jul-18,2013,R,105 min
TV Show,Man to Man,Chang-Min Lee,10-Jun-17,2017,TV-14,1 Season
Movie,Man Up,Ben Palmer,4-Sep-18,2015,R,88 min
TV Show,Man vs Wild with Sunny Leone,,1-Dec-18,2018,TV-PG,1 Season
TV Show,Man with a Plan,,30-Sep-20,2020,TV-PG,4 Seasons
Movie,Mandi,Shyam Benegal,1-Jan-20,1983,TV-MA,155 min
Movie,Mandobasar Galpo,Tathagata Banerjee,1-Apr-18,2017,TV-14,103 min
Movie,Manglehorn,David Gordon Green,16-Apr-17,2014,PG-13,97 min
Movie,Mango Dreams,John Upchurch,15-Mar-18,2016,TV-14,92 min
Movie,Manhattan Romance,Tom O'Brien,8-Sep-17,2014,TV-14,98 min
Movie,Manhunt,John Woo,4-May-18,2017,TV-MA,109 min
TV Show,Manhunt: Deadly Games,,7-Dec-20,2020,TV-14,1 Season
TV Show,Maniac,,21-Sep-18,2018,TV-MA,1 Season
Movie,Maniyarayile Ashokan,Shamzu Zayba,31-Aug-20,2020,TV-14,110 min
Movie,Manje Bistre,Baljit Singh Deo,1-Oct-18,2017,TV-14,136 min
Movie,MANK,David Fincher,4-Dec-20,2020,R,133 min
Movie,Manmadhudu 2,Rahul Ravindran,23-Sep-19,2019,TV-MA,152 min
Movie,Mann,Indra Kumar,28-Sep-20,1999,TV-14,173 min
Movie,Manolo: The Boy Who Made Shoes for Lizards,Michael Roberts,15-Jan-18,2017,TV-MA,89 min
Movie,Manorama Six Feet Under,Navdeep Singh,28-Sep-20,2007,TV-14,129 min
Movie,Manoranjan,Shammi Kapoor,1-Sep-17,1974,TV-14,162 min
Movie,Mansfield Park,Patricia Rozema,1-Jan-20,1999,PG-13,112 min
Movie,Manson Family Vacation,J. Davis,27-Oct-15,2015,TV-MA,85 min
Movie,Manto,Nandita Das,30-Nov-18,2018,TV-MA,114 min
Movie,Mantostaan,Rahat Kazmi,15-Dec-17,2017,TV-MA,75 min
Movie,Mantra,Nicholas Kharkongor,15-Dec-17,2017,TV-14,89 min
Movie,Manu,Phanindra Narsetti,1-Aug-19,2018,TV-14,177 min
Movie,Manusangada,Amshan Kumar,2-Feb-19,2017,TV-14,93 min
Movie,Maps to the Stars,David Cronenberg,16-Dec-18,2014,R,112 min
TV Show,Mar de Plástico,,27-Apr-17,2017,TV-MA,2 Seasons
Movie,Mara,Clive Tonge,5-Jan-19,2017,TV-MA,99 min
TV Show,Maradona in Mexico,,13-Nov-19,2020,TV-MA,1 Season
Movie,Marauders,Steven C. Miller,1-Dec-20,2016,R,107 min
Movie,Marc Maron: End Times Fun,Lynn Shelton,10-Mar-20,2020,TV-MA,71 min
Movie,Marc Maron: Thinky Pain,Lance Bangs,1-Nov-18,2013,TV-MA,95 min
Movie,Marc Maron: Too Real,Lynn Shelton,5-Sep-17,2017,TV-MA,70 min
TV Show,Marcella,,14-Jun-20,2019,TV-MA,3 Seasons
TV Show,March Comes in Like a Lion,,1-Jun-19,2017,TV-14,2 Seasons
TV Show,Marching Orders,,3-Aug-18,2018,TV-14,1 Season
Movie,Marco Luque: Tamo Junto,Caio Cobra,15-Jun-17,2017,TV-MA,73 min
TV Show,Marco Polo,,1-Jul-16,2016,TV-MA,2 Seasons
Movie,Marco Polo: One Hundred Eyes,Alik Sakharov,26-Dec-15,2015,TV-MA,29 min
Movie,Maria,Pedring A. Lopez,17-May-19,2019,TV-MA,90 min
Movie,Maria Bamford: Old Baby,Jessica Yu,2-May-17,2017,TV-MA,64 min
Movie,Maria Bamford: The Special Special Special,Jordan Brady,25-Aug-18,2012,TV-MA,50 min
Movie,Mariah Carey's Merriest Christmas,James Yukich,9-Dec-16,2015,TV-G,38 min
TV Show,Marianne,,13-Sep-19,2019,TV-MA,1 Season
Movie,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",,19-Sep-16,2016,TV-MA,69 min
Movie,Mark Gatiss: A Study in Sherlock,Nathan Landeg,1-May-16,2016,TV-14,29 min
TV Show,Marlon,,14-Jun-19,2018,TV-14,2 Seasons
Movie,Marlon Wayans: Woke-ish,Marcus Raboy,27-Feb-18,2018,TV-MA,67 min
TV Show,Maron,,,2016,TV-MA,4 Seasons
Movie,Maroon,Pulkit,1-Feb-17,2016,TV-MA,94 min
Movie,Marriage Palace,Sunil Thakur,23-Aug-19,2018,TV-14,135 min
Movie,Marriage Story,Noah Baumbach,6-Dec-19,2019,R,137 min
TV Show,Married at First Sight,,13-Apr-20,2019,TV-14,1 Season
TV Show,Mars,Everardo Gout," November 1, 2019",2018,TV-PG,2 Seasons
TV Show,Marseille,,23-Feb-18,2018,TV-MA,2 Seasons
Movie,Martial Arts of Shaolin,Chia-Liang Liu,16-Aug-18,1986,R,90 min
Movie,Martin Lawrence Live: Runteldat,David Raynr,1-Dec-19,2002,R,104 min
Movie,Martin Luther: The Idea that Changed the World,David Batty,1-Jan-18,2017,TV-PG,55 min
Movie,"Martin Matte: La vie, la mort...eh la la..!",Jean-François Blais,14-Oct-19,2019,TV-14,62 min
Movie,Martyrs of Marriage,Deepika Narayan Bhardwaj,15-Mar-18,2016,TV-14,83 min
Movie,Marvel & ESPN Films Present: 1 of 1: Genesis,Eric Drath,15-Mar-15,2014,TV-PG,77 min
TV Show,Marvel Anime: Wolverine,,16-Dec-20,2011,TV-14,1 Season
TV Show,Marvel Anime: X-Men,,16-Dec-20,2011,TV-14,1 Season
Movie,Marvel Super Hero Adventures: Frost Fight!,Mitch Schauer,24-Feb-16,2015,PG,74 min
TV Show,Marvel's Agents of S.H.I.E.L.D.,,30-Oct-20,2020,TV-14,7 Seasons
TV Show,Marvel's Daredevil,,19-Oct-18,2018,TV-MA,3 Seasons
Movie,Marvel's Hulk: Where Monsters Dwell,Mitch Schauer,4-Jan-17,2016,PG,75 min
TV Show,Marvel's Iron Fist,,7-Sep-18,2018,TV-MA,2 Seasons
Movie,Marvel's Iron Man & Hulk: Heroes United,"Leo Riley, Eric Radomski",16-Feb-14,2013,PG,72 min
TV Show,Marvel's Jessica Jones,,14-Jun-19,2019,TV-MA,3 Seasons
TV Show,Marvel's Luke Cage,,22-Jun-18,2018,TV-MA,2 Seasons
TV Show,Marvel's The Defenders,,18-Aug-17,2017,TV-MA,1 Season
TV Show,Marvel's The Punisher,,18-Jan-19,2019,TV-MA,2 Seasons
Movie,Mary and the Witch's Flower,Hiromasa Yonebayashi,17-Jul-18,2017,PG,103 min
Movie,Mary Kom,Omung Kumar,5-Jul-20,2014,TV-PG,120 min
Movie,Mary Poppins Returns,Rob Marshall,9-Jul-19,2018,PG,131 min
TV Show,Mary Portas: Secret Shopper,,26-Jul-19,2016,TV-14,1 Season
TV Show,Masaba Masaba,,28-Aug-20,2020,TV-MA,1 Season
Movie,Masameer - The Movie,Malik Nejer,19-Mar-20,2020,TV-14,100 min
TV Show,Masameer Classics,,9-Dec-20,2013,TV-14,4 Seasons
Movie,Mascots,Christopher Guest,13-Oct-16,2016,TV-MA,95 min
TV Show,Masha and the Bear,,1-May-20,2019,TV-Y,4 Seasons
TV Show,Masha's Spooky Stories,,1-Oct-16,2012,TV-Y,1 Season
TV Show,Masha's Tales,,1-Feb-16,2012,TV-Y,1 Season
Movie,Maska,Neeraj Udhwani,27-Mar-20,2020,TV-MA,112 min
Movie,Masoom,Shekhar Kapur,31-Dec-19,1983,TV-14,138 min
Movie,Master,Ui-seok Jo,1-Feb-18,2016,NR,143 min
TV Show,Master of None,,12-May-17,2017,TV-MA,2 Seasons
Movie,Master Z: The Ip Man Legacy,Yuen Woo-ping,23-Oct-19,2018,TV-14,108 min
Movie,Match,Obaid Alhmoudi,14-May-20,2017,TV-14,91 min
Movie,Mater,Pablo D'Alo Abba,1-Aug-18,2017,TV-MA,80 min
Movie,Material,Craig Freimond,1-May-20,2012,TV-14,94 min
Movie,Matichya Chuli,"Sudesh Manjrekar, Atul Kale",15-Feb-18,2006,TV-14,132 min
Movie,Mau Nieto: Viviendo sobrio… desde el bar,,26-Jan-18,2018,TV-MA,57 min
Movie,Mauli,Aditya Sarpotdar,17-Jul-19,2018,TV-14,136 min
Movie,Maurício Meirelles: Generating Chaos,Diego Pignataro,16-Apr-20,2020,TV-MA,63 min
Movie,Max Rose,Daniel Noah,15-Jan-17,2013,TV-14,84 min
Movie,May the Devil Take You,Timo Tjahjanto,15-Nov-18,2018,TV-MA,111 min
Movie,May We Chat,Philip Yung,26-Aug-18,2014,TV-MA,99 min
Movie,May You Prosper,"Hassan Hegazy, Shady Ali",20-Jul-19,2017,TV-14,93 min
Movie,Maya Angelou: And Still I Rise,"Bob Hercules, Rita Coburn Whack",1-May-17,2016,TV-PG,114 min
Movie,Maya Memsaab,Ketan Mehta,1-Jun-17,1993,TV-14,122 min
Movie,Mayday Life,Muh Chen,23-Aug-19,2019,TV-PG,120 min
Movie,Maynard,Samuel D. Pollard,2-Sep-18,2017,TV-PG,100 min
Movie,Maz Jobrani: Immigrant,Maz Jobrani,1-Aug-17,2017,TV-14,67 min
Movie,Maza Pati Karodpati,Sachin,1-Jan-18,1988,TV-PG,132 min
Movie,Me and the Alien,Jesús Magaña Vázquez,14-Feb-17,2016,TV-MA,83 min
Movie,Mea Culpa,"Raúl Campos, Jan Suter",10-Nov-17,2017,TV-MA,54 min
Movie,Mean Dreams,Nathan Morlando,1-Jul-19,2016,R,105 min
Movie,Mean Girls 2,Melanie Mayron,1-Jan-21,2011,PG-13,98 min
Movie,Mean Streets,Martin Scorsese,1-Jul-19,1973,R,112 min
TV Show,MeatEater,,16-Sep-20,2020,TV-14,3 Seasons
TV Show,Medal of Honor,,9-Nov-18,2018,TV-MA,1 Season
TV Show,Medical Police,,10-Jan-20,2020,TV-MA,1 Season
TV Show,Medici: Masters of Florence,,1-May-20,2019,TV-MA,3 Seasons
Movie,Meditation Park,Mina Shum,9-Mar-18,2017,TV-PG,94 min
Movie,Medium,Jacek Koprowicz,1-Oct-19,1985,TV-MA,90 min
TV Show,Meet the Adebanjos,,4-Nov-19,2016,TV-PG,3 Seasons
Movie,Meet the In-Laws,Niyi Akinmolayan,18-Aug-20,2017,TV-PG,75 min
Movie,Meet the Trumps: From Immigrant to President,"Paul Berczeller, Mark Radice",25-Oct-17,2017,TV-14,48 min
TV Show,Mega Food,,12-Jul-19,2013,TV-G,1 Season
TV Show,Megalobox,,1-Jun-20,2018,TV-MA,1 Season
TV Show,MegaTruckers,,12-Jul-19,2012,TV-PG,1 Season
Movie,Meghnadbodh Rohoshyo,Anik Datta,15-Oct-18,2017,TV-MA,150 min
Movie,Mehandi Circus,Saravana Rajendran,30-Oct-19,2019,TV-MA,126 min
Movie,Melle,Binu Ulahhannan,1-Aug-18,2017,TV-PG,110 min
TV Show,Melodies of Life - Born This Way,,21-Jun-19,2016,TV-14,1 Season
Movie,Melvin Goes to Dinner,Bob Odenkirk,1-Jul-18,2003,R,84 min
Movie,Memoir of a Murderer,Shin-yeon Won,19-Feb-18,2017,TV-MA,118 min
Movie,Memories of a Teenager,Lucas Santa Ana,12-Nov-20,2019,TV-MA,97 min
TV Show,Memories of the Alhambra,,2-Dec-18,2018,TV-MA,1 Season
Movie,Memory Games,"Janet Tobias, Claus Wehlisch",19-Jun-19,2018,TV-14,86 min
TV Show,Memory Love,,18-Jan-19,2017,TV-14,1 Season
Movie,Men in Black,Barry Sonnenfeld,19-Oct-19,1997,PG-13,98 min
Movie,Men in Black II,Barry Sonnenfeld,1-Oct-19,2002,PG-13,88 min
TV Show,Men on a Mission,Jung-ah Im,10-Aug-20,2020,TV-14,5 Seasons
Movie,Menahi,Ayman Makram,11-Jun-20,2008,TV-14,101 min
Movie,Menashe,"Josh Z. Weinstein, Joshua Z. Weinstein",25-Jan-20,2017,PG,82 min
Movie,Menorca,John Barnard,27-Aug-17,2016,TV-MA,81 min
Movie,Merantau,Gareth Evans,13-Feb-19,2009,R,112 min
Movie,Merata: How Mum Decolonised the Screen,Hepi Mita,12-May-19,2018,TV-14,88 min
Movie,Mercenary,Sacha Wolff,4-Dec-16,2016,TV-MA,99 min
Movie,Mercury 13,"David Sington, Heather Walsh",20-Apr-18,2018,TV-PG,79 min
Movie,Mercy,Chris Sparling,22-Nov-16,2016,TV-MA,88 min
Movie,Mercy Black,Owen Egerton,31-Mar-19,2019,TV-14,88 min
TV Show,Mere Papa Hero Hiralal,,1-May-18,2018,TV-14,1 Season
Movie,Mere Pyare Prime Minister,Rakeysh Omprakash Mehra,31-May-19,2019,TV-MA,103 min
Movie,Merku Thodarchi Malai,Lenin Bharathi,1-Jan-19,2018,TV-MA,115 min
TV Show,Merlí,,1-Dec-16,2015,TV-MA,1 Season
TV Show,Merlin,James Hawes,15-Dec-16,2012,TV-PG,5 Seasons
TV Show,Merry Happy Whatever,,28-Nov-19,2019,TV-PG,1 Season
Movie,Merry Men 2: Another Mission,Moses Inwang,5-Jun-20,2019,TV-MA,115 min
Movie,Merry Men: The Real Yoruba Demons,Toka McBaror,21-Sep-19,2018,TV-MA,106 min
Movie,Mersal,Atlee Kumar,21-Aug-18,2017,TV-14,162 min
Movie,Message from the King,Fabrice Du Welz,4-Aug-17,2017,TV-MA,103 min
TV Show,Messiah,,1-Jan-20,2020,TV-MA,1 Season
Movie,Metallica Through The Never,Nimród Antal,28-Oct-20,2013,R,93 min
TV Show,Metallica: Some Kind of Monster,"Joe Berlinger, Bruce Sinofsky",10-Feb-17,2014,TV-MA,1 Season
TV Show,Meteor Garden,,14-Jul-18,2018,TV-14,1 Season
Movie,Metro,Ananda Krishnan,1-Apr-18,2016,TV-14,116 min
Movie,Mexicanos de Bronce,Julio Fernández Talamantes,31-Dec-18,2016,TV-MA,100 min
TV Show,Mexico Diseña,,1-Feb-17,2016,TV-PG,1 Season
Movie,MFKZ,"Shojiro Nishimi, Guillaume Renard",25-Dec-19,2017,R,95 min
Movie,Mi amigo Alexis,Alejandro Fernández Almendras,30-Aug-19,2019,TV-PG,102 min
Movie,Mi Obra Maestra,Gastón Duprat,25-Jan-19,2018,TV-MA,105 min
